Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,SMA20,Upper Band,Lower Band
2025-09-29,112163.96000000,114400.00000000,111560.65000000,114311.96000000,15541.12005000,2025-09-29 23:59:59.999,1755247635.87113600,2442653,7836.68768000,884934987.56875300,114078.75,119028.97962285338,109128.52037714662
2025-09-30,114311.97000000,114792.00000000,112656.27000000,114048.93000000,15044.15633000,2025-09-30 23:59:59.999,1710713267.13009550,3018331,7185.72154000,817044461.27018150,114083.1965,119033.13675498846,109133.25624501155
2025-10-01,114048.94000000,118649.10000000,113966.67000000,118594.99000000,20036.39516000,2025-10-01 23:59:59.999,2332096981.26593350,3430343,10071.04092000,1172422657.40651740,114238.8115,119556.06135254569,108921.5616474543
2025-10-02,118594.99000000,121022.07000000,118279.31000000,120529.35000000,19670.83503000,2025-10-02 23:59:59.999,2349861127.34458050,3472073,9753.07848000,1164986423.98980750,114463.808,120440.06929903004,108487.54670096996
2025-10-03,120529.35000000,123894.99000000,119248.30000000,122232.00000000,23936.32800000,2025-10-03 23:59:59.999,2907381076.68131880,4246820,11288.62355000,1372792607.61362140,114779.49350000001,121675.49864646261,107883.48835353741
2025-10-04,122232.21000000,122800.00000000,121510.00000000,122391.00000000,8208.16678000,2025-10-04 23:59:59.999,1002272903.34464720,1703590,3767.80335000,460154433.12366190,115135.643,122827.67916403555,107443.60683596444
2025-10-05,122390.99000000,125708.42000000,122136.00000000,123482.31000000,22043.09755300,2025-10-05 23:59:59.999,2730817470.93956400,3690670,11780.67240300,1459478400.91099630,115542.273,124093.78025830918,106990.76574169082
2025-10-06,123482.32000000,126199.63000000,123084.00000000,124658.54000000,19494.62879300,2025-10-06 23:59:59.999,2428828952.26531830,4206167,9963.00815300,1241625129.71771830,115935.75200000001,125403.869068605,106467.63493139502
2025-10-07,124658.54000000,125126.00000000,120574.94000000,121332.95000000,21633.99385000,2025-10-07 23:59:59.999,2657405799.87054860,4390785,9699.35099000,1191947741.69890580,116180.02000000002,125950.96861433976,106409.07138566028
2025-10-08,121332.96000000,124197.25000000,121066.14000000,123306.00000000,17012.61800000,2025-10-08 23:59:59.999,2084842842.44161690,4184997,9039.06222000,1107976264.69485960,116491.6435,126767.09581827649,106216.19118172352
2025-10-09,123306.01000000,123762.94000000,119651.47000000,121662.40000000,21559.36007000,2025-10-09 23:59:59.999,2621438087.56673310,4231167,10144.15364000,1233882833.56423890,116793.14450000001,127313.38767909264,106272.90132090737
2025-10-10,121662.41000000,122550.00000000,102000.00000000,112774.50000000,64171.93927000,2025-10-10 23:59:59.999,7349750905.04115730,11404522,30502.14297000,3493298452.84600770,116647.58800000002,127311.91994251055,105983.25605748949
